date,text,NumberLikes,NumberComments,NumberViews
2021-05-25,"15 minute Chinese Garlic Chicken Stir Fry 🥡 that is tender, juicy and SO flavorful. 👩🏻‍🍳In honor of #aapiheritagemonth to #celebrateourheritage , I’m sharing one of my dad’s go-to recipes he made for us growing up. Served with Jasmine rice to soak in all the sauce 🤤, this recipe HIT home for me.
.
Hoping that my parents could make it to the states to meet little Ollie soon and now it’s my turn to cook them all the traditional meals with a Shuangy twist 🥺.
.
•••••••••••.
dEATs 👇🏼:
.
- @bobsredmill arrowroot starch (Thank you for sponsoring this post and spread awareness for #aapiheritagemonth) #ad
- Chicken thighs
- Garlic 🧄
- Ginger + scallions
- Coconut Aminos, rice vinegar, sesame oil
.
Serve with Cauliflower rice for #whole30recipes and #ketomeals
.
FULL recipe on my blog🤏🏼Direction on my story 🎥.
.

https://shuangyskitchensink.com/healthy-chinese-garlic-chicken/
.
.
#shuangyseats #asianfood #garlicchicken #chickenstirfry,I think I’ve got 15 minutes 😍😍,Sounds divine,I loveee a good stir fry ✨✨✨,Sooo are you making dinner tonight?? 😍,I need this for dinner ❤️,I want to swim in that sauce!! 😍,All the fresh flavors 😍😍,That SAUCE 🔥🔥🔥,IT LOOKS SO JUICY😍,Mom goals ❤️,Looks delicious! 🤤,i wanna meet ollie,All about 15 min dins!! ❤️,Looks so flavorful and delicious ❤️,So glossy!,Looks so delicious my love,Love these flavors,Looks so yummy 😋,Can I have it 😍,oh my goodness,so easy so good 😍🔥,15 min?! Yes please 😍,Always about that rice 😍❤️this sounds lovely shuang!!,Love the sauce! 😍,",1146,173,0
2021-05-24,"Toasting 🍞 to the New Week with a THICK hunk of sourdough Toast with yogurt 🍦, frozen blueberries 🫐 and sprinkle of hemp seeds.  Simple combo but HIT the spot! 
.
Oliver is back to be my little Angel 👼🏼 after leap 3 🤞🏼. Now this mama is planning out the week with new recipes and self care 💇‍♀️ . Hope everyone is sMASHing this Monday 🤸🏻‍♀️✨.
.
•••••••••••••••••.
dEATs 👇🏼:
.
- a THICK piece of sourdough toasted + yogurt of choice + frozen blueberries 🫐 + drizzle of peanut 🥜 butter + sprinkle of hemp seeds
.
#shuangyseats #sourdoughtoast #quickbreakfast,OG she thick 😍😍😍,Ummm hello YUMMM 😍😍,Oooh yummmmmm,SO LOADED 🙌🙌,Your toast is the prettiest!! Best scene ever 🥺💗,😍😍😍😍,Total perfectiob😍,Perfect piece 🙌🙌🙌,yogurt on toast is the bombbb😍,Best way to start the week 😍,couldn’t look better 😍,Your pictures are my absolute favorite 😍,Perfect toast! I need a bite🙌❤️,Best way to kick off a new week 😍,When you start PURPLE you know it’s gonna be a good week💜,This toast is STUNNING😍😍,my kinda toast okayyy 😍,This is life ! ❤️🙌,I can’t live without sourdough 😭,Save me a bite (or two 😂),Well that’s just gorgeous! 😍,Bloobs make it all so preyyy,Sourdough is the cure for Mondays,Oh wow, such a pretty and loaded toast😍absolutely love it🙌,",2179,242,0
2021-05-20,"4 ingredient NO BAKE Cookie 🍪 Dough Bites that is Fudgy n Crunchy 🍫 sweet n salty, easy to make all in ☝🏼 blender. You already know I’m an addict when it comes freezer energy bites, packed with healthy fats and protein, perfect pre-workout, afternoon it late night snacks 💁🏻‍♀️.
.
Dont forget the EXTRA sea salt 🧂on top, K? . Hope everyone has a great Friday Jr.🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- Raw Cashews
- Medjool dates (keto option on my blog)
- coconut flour
- Chocolate Chips
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨. (Direction 🎥 on my story)
.

https://shuangyskitchensink.com/no-bake-cookie-dough-bites/

.
#shuangyseats #vegandessert #energybites #cookiedoughbites #cookiedough #nobakedessert,Ok I’ll trade you 😍😍😍,So perfect,I want these in my freezer 😍,This sounds right up my alley hun 😍,I WANT IT ALL,Looks so delicious 🙌,Oh my gosh for sure let’s trade 😋,fudge never fails 😍,Omg yes 🙌🙌🙌😍,THE SALT FLAKES🔥🔥🔥,Need these!! Extra salt 👏🏻👏🏻,These look unreal😍,Texture on point!! 😍,Mama needs 😍😍😍,LOVE no bake 😍😍,Omg!!! Phenomenal ❤️,Oh baby 🤤,Fudge is just the best, especially when it’s cookie dough 😍absolutely beautiful!!,Okay these look insaneee 🔥,Damn they look delish,These look addicting 😍😍,I need like a dozen!❤️,I need a whole batch please,I’m moving in. That’s it 👏😍,",2852,237,0
2021-05-19,"15 min Instant Pot BBQ Pulled Chicken that is SO flavorful, Juicy 💦, tender and easy to make. Literally just chuck everything in one pot and done 💁🏻‍♀️. I love serving it with Sweet Potato “buns”! The sweetness and the spicy.. it’s like going to Flavor Town 😎( see what I did that there)?! If you need a healthy summer party crowd pleaser 🍻 and meal prep idea this weekend, you need to TRY this!
.
Hope everyone has a great hump day!
.
•••••••••••••.
dEATs 👇🏼:
.
- Chicken breasts or thighs
- Broth
- Homemade BBQ seasoning (salt, paprika, 🧄 🧅 powder)
.
Serve with sweet potato “buns” for #whole30 option.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨. (Direction 🎥 on my story ”)
.
.
https://shuangyskitchensink.com/instant-pot-bbq-chicken/

.
#shuangyseats #instantpotrecipes #whole30recipes #bbqchicken #pulledchicken #paleorecipes
.
.

#mealprep #cleaneating #healthylifestyle #mealprepideas #easyrecipes #glutenfreefood #eatyourveggies #bbgcommunity #goodmoodfood #glutenfree #paleorecipes #healthyrecipes #glutenfreerecipes  #quickdinner #dinnerrecipes #healthyfood #healthydinner #healthylunch #quicklunch #whole30 #whole30ideas #chickenrecipes,Wow that is a sandwich,These are so cute 😍😍,Sweet potato buns hun 😍😍,Looks so delicious 🙌,Where did you find sweet potato buns? 😋😋👍,What a beauty hun 😍,I want to be sandwiched in this baby!! 😍,15 min!!!? YES PLEASE 🔥,Sweet potato buns?! You’re a genius 🍠✨,Love pulled chicken!! These look delicious 😍love the sweet tator buns ❤️,So heavenly! 😮,Yum😍👏,This looks insanely good 😍,What a great idea 👏,literally making this tonight 🔥🔥🔥,This is everything I have been craving😍,PERFECTION,SO filled and I’m loving it 😍😍 sweet potato buns deserve a special shout-out 👏,Those are my favorite kind of potatoes 😍😍,Perfect for summer 🌞,Oo what a genius idea to use that sweet potato buns and would love this with bbq jackfruit ❤️,You make all of my favorite things so healthy and delicious 😋😋,Omg u didn’t have to make me drool like that!! This is soooo good 😍,I need to make these asap!,",1674,234,3139
2021-05-18,"World’s BEST Healthy Chocolate 🍫 Zucchini Bread, MOIST and FLUFFY 💨 now is getting #reels !Only 7 main ingredients, this zucchini 🥒 loaf is so easy to make. TOP with a Thick hunk with nut butter and more chocolate .. ya feel?
.
Happy Baking! Hope everyone has a great Tuesday 🤸🏻‍♀️✨
.
•••••••••••••••.
dEATs 👇🏼:
.
- Eggs
- Zucchini (DUHH) 🥒
- Cocoa Power
- Almond Flour
- Maple Syrup
- Apple sauce (or ripe 🍌)
- Chocolate Chips 🍫 
.

RECIPE on my blog, *LINK in bio ✨.
.
https://shuangyskitchensink.com/healthy-zucchini-chocolate-bread/

.
.
#shuangyseats #paleodessert #zucchinibread #chocolatebread #chocolatelovers
.
.

#healthyeating #healthyrecipes #healthydessert #dessertrecipe #paleorecipes #dairyfreedessert #easyrecipes #healthydiet #cleaneating #healthysnack #easydessert #glutenfreedessert #healthybreakfast #paleodessert #paleorecipe #glutenfree #healthyfood #glutenfreefood #heathylifestyle #dessertrecipes #easydesserts,Best way to get in your greens 👏😍,It looks insanely good 😍,Danggg looks good mama,I adore this😍,Daaaaang 😍,Ooooh need this🙌,SO SEXYYYY🔥🔥,Moist and fluffy?! Sign me up😍🙌,DROOL😍,Made this past weekend, it was 🔥🔥🙌❤️.,Woah there 😍she’s perfect!,Chocolate chip ratio on point!😍😍,Gracious so dreamy😍,Best ever!!! Esp with just 7 ingredients 😮,Oo my it looks delicious ❤️❤️❤️,Love the texture🤤,yum😍👏,HOT DAMN 😍 this bread is lookin so decadent and delish!,You’ve got me inspired to get some zucchini,Need this in my life,Looks so so so yummy 😍😍😍,Wow this consistency looks absolutely amazing 😍😍😋,Love a hidden veggie moment,The freaking bomb 😍,",1133,195,7074
2021-05-17,"Gluten Free Zucchini Banana Muffins with lots of chocolate 🍫 chips to kick off the week. These bad boys are MOIST, fluffy 💨 and melts in your mouth. They are super easy to make too. Perfect way to sneak in some veggies 💁🏻‍♀️. Ya can’t even taste the zucchinis or sweet potatoes 🍠!
.
Hope everyone has a good week🤸🏻‍♀️✨
.
•••••••••••••••.
dEATs 👇🏼:
.
- Zucchini 🥒
- Eggs
- Ripe Bananas 🍌
- Sweet potatoes 🍠
- Peanut 🥜 Butter (or almond butter for #paleorecipe)
- Coconut Flour
- Chocolate 🍫 Chips
.
.
FULL RECIPE on my blog, *LINK in bio ✨.
.

https://shuangyskitchensink.com/healthy-zucchini-banana-muffins/
.
.
#shuangyseats #glutenfreedessert #dessertforbreakfast #zucchinimuffins #bananamuffins,So perfect😍,Yes to all zucchini 👏👏,These look perf 😍,So good! 🔥🔥,Love me an easy muffin!!!,😍🤤😍🤤,Omg you make me crave them...🤤,yummm i’m CRAVING these,Love sneaking in those veggies!!!,Gimme gimme gimme!!!,They look so so yummy,They sound just lovely!! Love that you used sweet potato!,YUM!!,You know my love for muffins,Mm yes please I’ll take 4 ❤️,I loved baked goods with hidden veggies😍,MOIST MUFFINS ONLY,I want some please,Need to make these!,You are crushing the Zuchinni recipes !!!,How many can I have?👏❤️,Love the pop of green😍,Making these for me and Harlee!,I LOVE baking with zuchinni 😍😍,",1550,197,12238
2021-05-14,"Meet World’s BEST Healthy Chocolate 🍫 Zucchini Bread is that is super MOIST, FLUFFY 💨 and so EASY to make. Only 7 main ingredients, this zucchini 🥒 loaf with a b*to load of 🍫 chips is to die for! The perfect way to sneak in some veggies too 💁🏻‍♀️. TOP with a Thick hunk with nut butter and more chocolate .. K? Be extra cuz it’s the WEEKEND! 
.
Happy Baking! Hope everyone has a great Friday 🤸🏻‍♀️✨
.
•••••••••••••••.
dEATs 👇🏼:
.
- Eggs
- Zucchini (DUHH) 🥒
- Cocoa Power
- Almond Flour
- Maple Syrup
- Apple sauce (or ripe 🍌)
- Chocolate Chips 🍫 
.

RECIPE on my blog, *LINK in bio ✨. Direction/TIps on my story 🎥.
.
https://shuangyskitchensink.com/healthy-zucchini-chocolate-bread/

.
.
#shuangyseats #paleodessert #zucchinibread #chocolatezucchinibread #chocolatebread,The slice is RIGHT,Perfect Friday loaf!,The best combo 😍,Love the pb on top!! Just beautiful!,Also, those extra chocolate chips on top are a must 👏,I love how zucchini makes bread so moist,I would devour in no time flat,cannot wait for my zucchini plant to start producing so I can make this every week 😍,I believe you on this, truly looking like the best 😍,come to meee😍,That texture 😩😍 this is HEAVENLY,I just gotta try zucchini in banana bread! Next time I’m doing it mark my words 😂,Can you squeeze any more chocolate chips on there? 😛,I can literally see how moist this is 🤤🤤,YUM,I will take some !!,It’s so fudgey 😍😍😍,Yum I love zucchini bread!!,looks amazing 👏,Omg so dreamy!!!!! 😍😍😍,Always having the fluffiest treats! 😍,So fluffy and perfect!!!,Texture is unreaaal 😍👏🍫,definitely the best 😍,",3600,256,0
2021-05-12,"5 🖐🏼 ingredient NO BAKE Peanut Butter 🥜 COOKIES made in ONE blender! These bad boys are sweet n salty, so FUDGing addicting 💁🏻‍♀️.
.
Oh don’t forget the EXTRA PB 🥜and sea salt 🧂on top! Hope everyone has a great Wednesday🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- Raw Cashews
- Peanut 🥜 Butter
- Medjool dates (keto option on my blog)
- coconut flour 
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨.
.

https://shuangyskitchensink.com/no-bake-peanut-butter-cookies/

.
#shuangyseats #vegandessert #peanutbuttercookies #nobakedessert,Yes to that extra Pb & sea salt on top!!😍🙌,😍😍😍😍 need,Ooh la laa 😍❤️,That texture!!!!,I’m obsessed with a no bake recipe 😍😍,Perfection,Texture 🔥😍,Mama needs!!😍😍,These look so good😍,WOAH😍,The texture here is dreamy! 😍,Looks bomb 🔥,Omg these look absurdly delicious 😍,I need to try these 😍,So here for these no bake peanut butter cookies😍,yum yummm,Omgg they’re so soft they’re almost fudge! 😍😍 Send a dozen pls,omgggg that texture is unreal 😍 saving these for aure,A dream🙌,Looking good 😍 dates are great ! We just had some no bake date chocolate brownies 😋,Gahhh I love pb cookies 😍,These are PERFECT,Wow this looks absolutely delicious 🤤,These cookies!! 😍and those ingredients 😮 wow!! 👏,",6573,289,0
2021-05-11,"TOASTING to Tuesday with some THICK sourdough *French TOASTs *🍞. These bad boys are soft on the inside and a lil crispy on the outside, drenched in a lil 🍁 syrup.. ya feel? if this is French, I don’t wanna be Chinese 🤓(jk jk).
.
Hope everyone has a great Tuesday 🤸🏻‍♂️✨.
.
•••••••••••••.

dEATs 👇🏼:
.
- 3 piece of hearty bread of your choice 🍞 SOAKED (for a min or so) in:
- 1/2 Cup your milk of choice (I like using Coconut milk)
-1 egg
- dash of sea salt 🧂 + 1/2 tsp cinnamon or more to taste)
.
Pan sear on a greased non-sticking pan for 2 min each side.
.
#shuangyseats #toasttuesday #frenchtoast #frenchtoastrecipe,Wow looks amazing,Oh lawdyyy she thickkk 😍 I’ll take a plate 🙏🏼,I’ll cheers to that 😍😍,Need this🙌,Yess this is the French toast we ALL need in our lives!! 😍,The thickness on this toast 😍😍,YUMMM,wow😍,Pass me a piece please!!!,Looks delicious!!,Best kind of French toast= sourdough,Now THAT’S a French toast 😍😮,Oooooh she is thiiiick 😍 my dream toast Tuesday situation right here 🤤,I want this so badly right now you have no idea😮,Okayyy now this is how you toast Tuesday!!😍😍,This needs to be eaten right away 😍😍,Thickkk and sweet 🙌🔥😍,I’ll toast to that 👏,This is my sign to make French toast,Thicccck🔥👏,French toast goals 😍,Holy MOLY - this looks incredible!! 😍,that toast is so THIIIICK,Toasting good girl!!❤️,",2407,241,0
2021-05-10,"6ish Ingredients Gooey Ooey Banana Brownies 🍫 that is moist 💦, fudgy and so Chocolate-Y. Swirl it off with extra nut butter, lots of chocolate chips + sea salt 🧂. K? Hope everyone has a great Week 🤸🏻‍♂️✨.
.
•••••••••••••.
dEATs 👇🏼:
.
- RIPE bananas 🍌(duhh)
- Eggs
- Almond Butter
- Cacao Powder
- Chocolate Chips
.
.
Check out the full recipe on my blog 👉🏼 link in bio ✨.
.

https://shuangyskitchensink.com/flourless-paleo-sweet-potato-brownies/

.
#shuangyseats #paleodessert #brownies #healthybrownies #glutenfreerecipes #reelsinstagram #foodreels #foodvideos #chocolatelovers
.
.
 #healthyeating #healthyrecipes #healthydessert #dessertrecipe #paleorecipes #dairyfreedessert #easyrecipes #healthydiet #healthysnack #easydessert #glutenfreedessert #healthybreakfast #paleodessert #paleorecipe #glutenfree #healthyfood #glutenfreefood #heathylifestyle #dessertrecipes #easydesserts,GET ITTTT 👏,Oh babe!!! Love this Monday inspo😍,I made these on Friday and they’re already gone! So dreamy 😍😍,Oh girl I can literally taste it 🤤,I’m obsessed 😍😍😍,That swirl on top omg 😍😍,The swirl is just perfect!! 😍❤️,Count me in😍,Just over here drooling on my phone 🤤😩,You really got me with the swirl 🤤🤤,Looks so Yumm😍,Love how quickly these come together,You at my 6ish ingredients! This banana brownies look amazing,Ooey gooey HEAVENNN😍😍,Too good🤤🤤🤤,that texture wooo😍😍,These brownies look so moist and super delicious 😍 wish I could try them😋😋❤️,Oh my gosh 🤤🤤 looks amazing!,The nut butter swirl 😍🙌,Oh myy😍 this looks absolutely delish 🔥,They look DELICIOUS,BRB I need to go clean up my drool 🤤 😍,Omggg🔥,This song got me PUMPEDDDD for my next zoom call,",3020,256,26739
