,location,url,name,biz_id,address,category,star_rating
0,ARGENTINA,https://www.yelp.com/biz/fukuro-noodle-bar-buenos-aires-2?osq=food,Fukuro Noodle Bar,fukuro-noodle-bar-buenos-aires-2,Costa Rica 5514,"['Japanese', 'Taiwanese']",4.5
1,ARGENTINA,https://www.yelp.com/biz/la-cocina-buenos-aires-2?osq=food,La Cocina,la-cocina-buenos-aires-2,Av. Pueyrredón 1508,"['Argentine', 'Empanadas']",4.5
2,ARGENTINA,https://www.yelp.com/biz/sarkis-buenos-aires-2?osq=food,Sarkis,sarkis-buenos-aires-2,Thames 1101,"['Arabian', 'Armenian', 'Middle Eastern']",4.5
3,ARGENTINA,https://www.yelp.com/biz/la-vermuter%C3%ADa-buenos-aires-3?osq=food,La Vermutería,la-vermuter%C3%ADa-buenos-aires-3,Lavalle 3780,"['Tapas Bars', 'Diners', 'Dive Bars']",4.0
4,ARGENTINA,https://www.yelp.com/biz/cachito-premium-buenos-aires-3?osq=food,Cachito Premium,cachito-premium-buenos-aires-3,Serrano 1106,"['Steakhouses', 'Sandwiches', 'Argentine']",4.0
5,ARGENTINA,https://www.yelp.com/biz/tintoreria-yafuso-buenos-aires?osq=food,Tintoreria Yafuso,tintoreria-yafuso-buenos-aires,Juan Ramirez de Velasco 399,"['Japanese', 'Sushi Bars']",5.0
6,ARGENTINA,https://www.yelp.com/biz/koko-buenos-aires?osq=food,Koko,koko-buenos-aires,Arévalo 1470,"['Vietnamese', 'Taiwanese', 'Asian Fusion']",4.5
7,ARGENTINA,https://www.yelp.com/biz/%C5%BEuti-buenos-aires?osq=food,Žuti,%C5%BEuti-buenos-aires,Honduras 5615,['Korean'],4.0
8,ARGENTINA,https://www.yelp.com/biz/la-pulperia-palermo?osq=food,La Pulperia,la-pulperia-palermo,Uriarte 1667,['Argentine'],5.0
9,ARGENTINA,https://www.yelp.com/biz/la-alacena-buenos-aires?osq=food,La Alacena,la-alacena-buenos-aires,Gascón 1401,"['Cafeteria', 'Breakfast & Brunch']",4.0
10,AUSTRALIA,https://www.yelp.com/biz/social-brew-cafe-pyrmont?osq=food,Social Brew Cafe,social-brew-cafe-pyrmont,224 Harris St,"['Cafes', 'Breakfast & Brunch', 'Coffee & Tea']",4.5
11,AUSTRALIA,https://www.yelp.com/biz/oiden-sydney?osq=food,Oiden,oiden-sydney,537-551 George St,['Japanese'],4.5
12,AUSTRALIA,https://www.yelp.com/biz/ribs-and-burgers-the-rocks-sydney?osq=food,Ribs & Burgers the Rocks,ribs-and-burgers-the-rocks-sydney,88 George St,"['Burgers', 'Steakhouses']",4.5
13,AUSTRALIA,https://www.yelp.com/biz/dead-ringer-sydney?osq=food,Dead Ringer,dead-ringer-sydney,413 Bourke St,['Australian'],4.5
14,AUSTRALIA,https://www.yelp.com/biz/hunter-and-barrel-sydney?osq=food,Hunter & Barrel,hunter-and-barrel-sydney,Tenancy 303,"['Australian', 'Chinese']",4.0
15,AUSTRALIA,https://www.yelp.com/biz/kusuka-on-sussex-street-sydney?osq=food,KUSUKA on Sussex street,kusuka-on-sussex-street-sydney,12/339 Sussex St,['Cafes'],5.0
16,AUSTRALIA,https://www.yelp.com/biz/concrete-jungle-chippendale?osq=food,Concrete Jungle,concrete-jungle-chippendale,58 Kensington St,['Cafes'],4.5
17,AUSTRALIA,https://www.yelp.com/biz/sydney-fish-market-pyrmont?osq=food,Sydney Fish Market,sydney-fish-market-pyrmont,Bank St,['Seafood Markets'],4.0
18,AUSTRALIA,https://www.yelp.com/biz/firedoor-surry-hills?osq=food,Firedoor,firedoor-surry-hills,23-33 Mary St,['Australian'],3.5
19,AUSTRALIA,https://www.yelp.com/biz/mr-wong-sydney?osq=food,Mr Wong,mr-wong-sydney,3 Bridge Ln,['Cantonese'],4.0
20,AUSTRIA,https://www.yelp.com/biz/berliner-d%C3%B6ner-wien?osq=food,Berliner Döner,berliner-d%C3%B6ner-wien,Zieglergasse 33 a,"['Food Stands', 'Kebab']",5.0
21,AUSTRIA,https://www.yelp.com/biz/bitzinger-wien-6?osq=food,Bitzinger,bitzinger-wien-6,Albertinaplatz 1,"['Curry Sausage', 'Food Stands', 'Hot Dogs']",4.0
22,AUSTRIA,https://www.yelp.com/biz/ramien-go-dc-tower-wien?osq=food,Ra’mien Go Dc Tower,ramien-go-dc-tower-wien,DC Tower,['Asian Fusion'],4.0
23,AUSTRIA,https://www.yelp.com/biz/the-breakfast-club-wien?osq=food,The Breakfast Club,the-breakfast-club-wien,Schleifmühlgasse 12 - 14,['Breakfast & Brunch'],4.5
24,AUSTRIA,https://www.yelp.com/biz/schachtelwirt-wien?osq=food,SchachtelWirt,schachtelwirt-wien,Judengasse 5,['Austrian'],5.0
25,AUSTRIA,https://www.yelp.com/biz/tortiller%C3%ADa-y-antojitos-mexikanos-wien?osq=food,Tortillería y Antojitos Mexikanos,tortiller%C3%ADa-y-antojitos-mexikanos-wien,Leopoldgasse 31,['Mexican'],4.0
26,AUSTRIA,https://www.yelp.com/biz/gasthaus-p%C3%B6schl-wien?osq=food,Gasthaus Pöschl,gasthaus-p%C3%B6schl-wien,Weihburggasse 17,"['Gastropubs', 'Austrian']",4.5
27,AUSTRIA,https://www.yelp.com/biz/fisch-am-karmelitermarkt-wien?osq=food,Fisch am Karmelitermarkt,fisch-am-karmelitermarkt-wien,Karmelitermarkt Stand 49 - 53,['Seafood Markets'],5.0
28,AUSTRIA,https://www.yelp.com/biz/das-kimchi-wien?osq=food,Das Kimchi,das-kimchi-wien,Marxergasse 15,['Korean'],4.5
29,AUSTRIA,https://www.yelp.com/biz/pizza-mari-wien-2?osq=food,Pizza Mari,pizza-mari-wien-2,Leopoldsgasse 23 a,['Pizza'],4.5
30,BELGIUM,https://www.yelp.com/biz/sushi-%C3%A0-la-vie-binche?osq=food,Sushi à la Vie,sushi-%C3%A0-la-vie-binche,Avenue Charles Deliège 21,['Sushi Bars'],4.5
31,BELGIUM,https://www.yelp.com/biz/il-truletto-ransart?osq=food,Il Truletto,il-truletto-ransart,Place Louis Delhaize 15,['Italian'],4.5
32,BELGIUM,https://www.yelp.com/biz/friterie-du-dock-sombreffe?osq=food,Friterie Du Dock,friterie-du-dock-sombreffe,Chaussee De Charleroi 52,"['Fast Food', 'Friterie']",5.0
33,BELGIUM,https://www.yelp.com/biz/le-peanuts-namur?osq=food,Le Peanuts,le-peanuts-namur,Rue de l'Ouvrage 3,"['Cafes', 'Brasseries', 'Belgian']",4.0
34,BELGIUM,https://www.yelp.com/biz/mex-et-go-louvain-la-neuve?osq=food,Mex & Go,mex-et-go-louvain-la-neuve,Rue du Sablon 52,"['Mexican', 'Fast Food']",4.0
35,BELGIUM,https://www.yelp.com/biz/san-marino-gembloux?osq=food,San Marino,san-marino-gembloux,Chaussée de Namur 16,"['Seafood', 'Italian']",5.0
36,BELGIUM,https://www.yelp.com/biz/chi-chis-gosselies-gosselies?osq=food,Chi Chi’s - Gosselies,chi-chis-gosselies-gosselies,Avenue des Etats-Unis 17,"['Mexican', 'Tex-Mex']",
37,BELGIUM,https://www.yelp.com/biz/sakura-binche?osq=food,Sakura,sakura-binche,Avenue Charles Deliège 11,['Japanese'],5.0
38,BELGIUM,https://www.yelp.com/biz/sozo-sushi-nivelles?osq=food,Sozo Sushi,sozo-sushi-nivelles,Rue de Saintes 21,"['Sushi Bars', 'Japanese']",5.0
39,BELGIUM,https://www.yelp.com/biz/le-1900-perwez?osq=food,Le 1900,le-1900-perwez,Grand Place 22,"['Brasseries', 'Belgian']",5.0
40,BRAZIL,https://www.yelp.com/biz/farol-do-cais-aruan%C3%A3?osq=food,Farol do Cais,farol-do-cais-aruan%C3%A3,Pça. Couto Magalhães  qd 10 lt 1,['Restaurants'],
41,BRAZIL,https://www.yelp.com/biz/estrada-do-sol-restaurante-e-camping-aruan%C3%A3?osq=food,Estrada do Sol Restaurante e Camping,estrada-do-sol-restaurante-e-camping-aruan%C3%A3,R. Sebastião Rosário 40,['Restaurants'],
42,BRAZIL,https://www.yelp.com/biz/izabete-leme-jomha-aruan%C3%A3?osq=food,Izabete Leme Jomha,izabete-leme-jomha-aruan%C3%A3,R. João Pinheiro Artiaga 221,['Restaurants'],
43,BRAZIL,https://www.yelp.com/biz/deposito-sao-marcos-aruan%C3%A3?osq=food,Deposito Sao Marcos,deposito-sao-marcos-aruan%C3%A3,R. Sebastião José Soares 14,[],
44,BRAZIL,https://www.yelp.com/biz/comercial-santiago-cocalinho?osq=food,Comercial Santiago,comercial-santiago-cocalinho,Av. Araguaia,[],
45,BRAZIL,https://www.yelp.com/biz/nivalda-farias-matos-de-almeida-aruan%C3%A3?osq=food,Nivalda Farias Matos de Almeida,nivalda-farias-matos-de-almeida-aruan%C3%A3,R. Sebastião Jerônimo Santos  qd 2 tr 18,['Diners'],
46,BRAZIL,https://www.yelp.com/biz/supermercado-sorriso-cocalinho?osq=food,Supermercado Sorriso,supermercado-sorriso-cocalinho,Av. Araguaia 1135,['Grocery'],
47,BRAZIL,https://www.yelp.com/biz/mercearia-servi-bem-cocalinho?osq=food,Mercearia Servi Bem,mercearia-servi-bem-cocalinho,R. C 3,['Grocery'],
48,BRAZIL,https://www.yelp.com/biz/lanchonete-dois-irm%C3%A3os-nova-crix%C3%A1s?osq=food,Lanchonete Dois Irmãos,lanchonete-dois-irm%C3%A3os-nova-crix%C3%A1s,R. 6  qd 9 lt 5,['Diners'],
