date,food name,Ingredients,Nutrition
2021-07-06,gardenia enrich white bread,"• High in vitamin B1, B2, B3 ,• High in calcium and iron,• No cholesterol, articifial flavouring or colouring,• Bromate free,• Freshness guaranteed: Estimated product life for 3 days including delivery day","Attributes,Per Serving (57g),Energy,150kcal,Trans Fat,0g,Protein,5.6g,Total Fat,1g,Saturated Fat,0.5g,Cholesterol,0mg,Carbohydrate,31.2g,Dietary Fibre,1.4g,Sodium,249.7mg,Vitamin B1 (Thiamine),0.44mg,Vitamin B2 (Riboflavin),0.27mg,Vitamin B3 (Niacin),2.88mg,Calcium,97.52mg,Iron,2.58mg"
2021-07-06,gardenia enrich white bread - wholem (super soft & fine),"Baked with 100% wholemeal flour specially milled to its finest form, this loaf is probably the softest wholemeal bread in the market with 100% whole-grain goodness!• Contains prebiotic,• Low in saturated fat,• High in fibre & iron,• No artificial sweetener,• Freshness guaranteed: Estimated product life for 3 days including delivery day","Attributes,Per Serving (2 Slices),Energy,117kcal,Protein,6.7g,Total Fat,1.5g,Saturated Fat,0.7g,Trans Fat,0g,Cholesterol,0mg,Carbohydrate,17.9g,Dietary Fibre,5.5g,Sodium,181mg,Vitamin B1 (Thiamine),0.39mg,Vitamin B2 (Riboflavin),0.22mg,Vitamin B3 (Niacin),3.40g,Calcium,97mg,Iron,3.1mg"
2021-07-06,calbe big bag potato chip - hot & spici,"• Display or store in a cool and dry place, away from direct sunlight and high temperature,• Eat soon after opening to avoid losing crispiness due to prolonged exposure to atmosphere","Attributes,Per Serving (15g),Calories,81kcal,Calories from Fat,43kcal,Total Fat,5g,Saturated Fat,2g,Trans Fat,0g,Cholesterol,0mg,Sodium,74mg,Carbohydrate,8g,Dietary Fibre,1g,Sugars,1g,Protein,1g,Vitamin A,0%,Vitamin C,10%,Calcium,0%,Iron,1%"
2021-07-06,maggi big 2-minut instant noodl - curri,"1. Empty noodles and soup mix into 450ml of boiling water,2. Simmer for 2 minutes, with gentle stirring,3. Serve immediately and enjoy,• Noodle Cake: Wheat Flour, Palm Oil, Wheat Gluten, Salt, Potassium Chloride, Sodium Tripolyphosphate, Stabilisers, Potassium Carbonate, Sodium Carbonate,• Soup Mix: Salt, Monosodium Glutamate, Palm Oil, Starch, Soya Sauce (contains Wheat), Chilli, Wheat Flour, Spices, Sugar, Yeast Extract, Garlic, Onion, Sodium Inosinate, Sodium Guanylate, Plain Caramel, Citric Acid,• May contain traces: crustaceans, fish, milk, celery and mustard","Attributes,Per Serving (101g),Energy,447kcal,Protein,10.7g,Total Fat,17.8g,Carbohydrate,61.1g"
2021-07-06,hup seng cracker - cream,"Every piece of the cream crackers is delicious, crunchy and full of goodness! It goes well with your daily morning coffee and provides you the energy you need to start your everyday hustle.• No artificial colouring and preservatives,• Baked under strict hygienic conditions using premium quality ingredients","Attributes,Per Serving (31g),Calories,150,Calories from Fat,60,Total Fats,7g,Saturated Fats,4g,Trans Fats,0g,Cholesterol,0mg,Sodium,180mg,Dietary Fibre,< 1g,Sugars,1g,Protein,3g,Vitamin A,0%,Vitamin C,0%,Calcium,0%,Iron,2%"
2021-07-06,narcissu can food - whole mushroom,,
2021-07-06,post great grain cereal - banana nut crunch,"• Naturally Flavoured with other Natural Flavours,• Banana Clusters,• Almond & Walnuts,Whole Grain Wheat, Cane Sugar, Whole Grain Rolled Oats, Rice, Walnuts, Almonds, Expeller Pressed Canola Oil, Dried Bananas, Salt, Wheat Flour, Rice Syrup, Malted Barley Flour, Molasses, Natural Flavor, BHT added to preserve freshness,• Contains: Wheat, walnuts and almonds

","Attributes,Per Serving (59g),Calories,230,Total fat,4.5g,Saturated Fat,0.5g,Trans fat,0g,Polyunsaturated Fat,2g,Monounsaturated Fat,1.5g,Cholesterol,0mg,Sodium,240mg,Carbohydrate,45g,Dietary Fiber,5g,Total Sugars,10g,Protein,6g,Vitamin D,2mcg,Calcium,20mg,Iron,16.5mg,Potassium,220mg,Vitamin A,40%,Thiamin,30%,Riboflavin,30%,Niacin,30%,Vitamin B6,30%,Folate,200mcg DFE,Vitamin B12,50%,Phosphorus,10%,Magnesium,10%,Zinc,20%"
2021-07-06,aaa preserv veget - pickl lettuc,,
2021-07-06,lotu biscoff biscuit - origin caramalis,,"Attributes,Per Serving (100g),Energy,2021kJ
,Total Fat,19g
,Saturated Fat,8.8g
,Carbohydrate,72.6g
,Sugars,38.1g
,Dietary Fibre,1.3g
,Protein,4.9g
,Sodium,0.4g
"
2021-07-06,khong guan biscuit - mari (premium),,"Attributes,Per Serving (22g),Calories,100kcal,Cholesterol,4mg,Total Fat,3g,Saturated Fat,2g,Trans Fat,0g,Sodium,86mg,Total Carbohydrate,16g,Dietary Fibre,0g,Sugars,3g,Protein,2g"
