date,food name,text
2021-07-07,happi,happi
2021-07-07,(ph - no delivery),(ph - no delivery)
2021-07-07,nation,nation
2021-07-07,"day,","day,"
2021-07-07,singapore!,singapore!
2021-07-07,oat cereal chicken,oat cereal chicken
2021-07-07,cai xin with garlic,cai xin with garlic
2021-07-07,sambal shrimp,sambal shrimp
2021-07-07,white carrot soup,white carrot soup
2021-07-07,chicken with mushroom,chicken with mushroom
2021-07-07,spinach with wolfberri,spinach with wolfberri
2021-07-07,tomato bean fri egg,tomato bean fri egg
2021-07-07,wintermelon soup,wintermelon soup
2021-07-07,hong kong steam fillet,hong kong steam fillet
2021-07-07,brinjal in hot bean sauc,brinjal in hot bean sauc
2021-07-07,bread sotong ball,bread sotong ball
2021-07-07,abc soup,abc soup
2021-07-07,abc,abc
2021-07-07,roast honey chicken wing,roast honey chicken wing
2021-07-07,kai lan with oyster sauc,kai lan with oyster sauc
2021-07-07,sambal egg,sambal egg
2021-07-07,kau kee fish ball soup,kau kee fish ball soup
2021-07-07,happi,happi
2021-07-07,happi,happi
2021-07-07,(ph - no delivery),(ph - no delivery)
2021-07-07,nation,nation
2021-07-07,"day,","day,"
2021-07-07,singapore!,singapore!
2021-07-07,oat cereal chicken,oat cereal chicken
2021-07-07,cai xin with garlic,cai xin with garlic
2021-07-07,sambal shrimp,sambal shrimp
2021-07-07,white carrot soup,white carrot soup
2021-07-07,chicken with mushroom,chicken with mushroom
2021-07-07,spinach with wolfberri,spinach with wolfberri
2021-07-07,tomato bean fri egg,tomato bean fri egg
2021-07-07,wintermelon soup,wintermelon soup
2021-07-07,hong kong steam fillet,hong kong steam fillet
2021-07-07,brinjal in hot bean sauc,brinjal in hot bean sauc
2021-07-07,bread sotong ball,bread sotong ball
2021-07-07,abc soup,abc soup
2021-07-07,abc,abc
2021-07-07,roast honey chicken wing,roast honey chicken wing
2021-07-07,kai lan with oyster sauc,kai lan with oyster sauc
2021-07-07,sambal egg,sambal egg
2021-07-07,kau kee fish ball soup,kau kee fish ball soup
2021-07-07,happi,happi
2021-07-07,(ph - no delivery),(ph - no delivery)
2021-07-07,nation,nation
2021-07-07,(ph - no delivery),(ph - no delivery)
2021-07-07,nation,nation
2021-07-07,"day,","day,"
2021-07-07,singapore!,singapore!
2021-07-07,oat cereal chicken,oat cereal chicken
2021-07-07,cai xin with garlic,cai xin with garlic
2021-07-07,sambal shrimp,sambal shrimp
2021-07-07,white carrot soup,white carrot soup
2021-07-07,chicken with mushroom,chicken with mushroom
2021-07-07,spinach with wolfberri,spinach with wolfberri
2021-07-07,tomato bean fri egg,tomato bean fri egg
2021-07-07,wintermelon soup,wintermelon soup
2021-07-07,hong kong steam fillet,hong kong steam fillet
2021-07-07,brinjal in hot bean sauc,brinjal in hot bean sauc
2021-07-07,bread sotong ball,bread sotong ball
2021-07-07,abc soup,abc soup
2021-07-07,abc,abc
2021-07-07,roast honey chicken wing,roast honey chicken wing
2021-07-07,kai lan with oyster sauc,kai lan with oyster sauc
2021-07-07,sambal egg,sambal egg
2021-07-07,kau kee fish ball soup,kau kee fish ball soup
2021-07-07,"day,","day,"
2021-07-07,singapore!,singapore!
2021-07-07,oat cereal chicken,oat cereal chicken
2021-07-07,cai xin with garlic,cai xin with garlic
2021-07-07,sambal shrimp,sambal shrimp
2021-07-07,white carrot soup,white carrot soup
2021-07-07,chicken with mushroom,chicken with mushroom
2021-07-07,spinach with wolfberri,spinach with wolfberri
2021-07-07,tomato bean fri egg,tomato bean fri egg
2021-07-07,wintermelon soup,wintermelon soup
2021-07-07,hong kong steam fillet,hong kong steam fillet
2021-07-07,brinjal in hot bean sauc,brinjal in hot bean sauc
2021-07-07,bread sotong ball,bread sotong ball
2021-07-07,abc soup,abc soup
2021-07-07,abc,abc
2021-07-07,roast honey chicken wing,roast honey chicken wing
2021-07-07,kai lan with oyster sauc,kai lan with oyster sauc
2021-07-07,sambal egg,sambal egg
2021-07-07,kau kee fish ball soup,kau kee fish ball soup
2021-07-07,marmit chicken,marmit chicken
2021-07-07,green vege,green vege
2021-07-07,seafood roll,seafood roll
2021-07-07,yong tau foo soup,yong tau foo soup
2021-07-07,golden fri salt fish minc meat patti,golden fri salt fish minc meat patti
2021-07-07,green vege,green vege
2021-07-07,tomato fri omlett,tomato fri omlett
2021-07-07,yong tau foo soup,yong tau foo soup
2021-07-07,stir-fri pork with ginger,stir-fri pork with ginger
2021-07-07,green vege,green vege
2021-07-07,steam 3 type egg,steam 3 type egg
2021-07-07,chicken feet with peanut soup,chicken feet with peanut soup
2021-07-07,onion chicken,onion chicken
2021-07-07,green vege,green vege
2021-07-07,luncheon meat with potato in ketchup,luncheon meat with potato in ketchup
2021-07-07,chicken feet with peanut soup,chicken feet with peanut soup
2021-07-07,honey lemon fish,honey lemon fish
2021-07-07,green vege,green vege
2021-07-07,sweet & sour porkbal,sweet & sour porkbal
2021-07-07,wintermelon chicken broth soup,wintermelon chicken broth soup
2021-07-07,tom yum fish,tom yum fish
2021-07-07,green vege,green vege
2021-07-07,golden fri wanton,golden fri wanton
2021-07-07,wintermelon chicken broth soup,wintermelon chicken broth soup
2021-07-07,paper wrap chicken,paper wrap chicken
2021-07-07,green vege,green vege
2021-07-07,tofu with shrimp,tofu with shrimp
2021-07-07,black bean chicken feet soup,black bean chicken feet soup
2021-07-07,basil minc pork,basil minc pork
2021-07-07,green vege,green vege
2021-07-07,brai beancurd with tau kee,brai beancurd with tau kee
2021-07-07,black bean chicken feet soup,black bean chicken feet soup
2021-07-07,brai chicken with bitter gourd,brai chicken with bitter gourd
2021-07-07,green vege,green vege
2021-07-07,sambal fishbal,sambal fishbal
