date,food name
2021-07-07,happi
2021-07-07,(ph - no delivery)
2021-07-07,nation
2021-07-07,"day,"
2021-07-07,singapore!
2021-07-07,oat cereal chicken
2021-07-07,cai xin with garlic
2021-07-07,sambal shrimp
2021-07-07,white carrot soup
2021-07-07,chicken with mushroom
2021-07-07,spinach with wolfberri
2021-07-07,tomato bean fri egg
2021-07-07,wintermelon soup
2021-07-07,hong kong steam fillet
2021-07-07,brinjal in hot bean sauc
2021-07-07,bread sotong ball
2021-07-07,abc soup
2021-07-07,abc 
2021-07-07,roast honey chicken wing
2021-07-07,kai lan with oyster sauc
2021-07-07,sambal egg
2021-07-07,kau kee fish ball soup
2021-07-07,happi
2021-07-07,happi
2021-07-07,(ph - no delivery)
2021-07-07,nation
2021-07-07,"day,"
2021-07-07,singapore!
2021-07-07,oat cereal chicken
2021-07-07,cai xin with garlic
2021-07-07,sambal shrimp
2021-07-07,white carrot soup
2021-07-07,chicken with mushroom
2021-07-07,spinach with wolfberri
2021-07-07,tomato bean fri egg
2021-07-07,wintermelon soup
2021-07-07,hong kong steam fillet
2021-07-07,brinjal in hot bean sauc
2021-07-07,bread sotong ball
2021-07-07,abc soup
2021-07-07,abc 
2021-07-07,roast honey chicken wing
2021-07-07,kai lan with oyster sauc
2021-07-07,sambal egg
2021-07-07,kau kee fish ball soup
2021-07-07,happi
2021-07-07,(ph - no delivery)
2021-07-07,nation
2021-07-07,(ph - no delivery)
2021-07-07,nation
2021-07-07,"day,"
2021-07-07,singapore!
2021-07-07,oat cereal chicken
2021-07-07,cai xin with garlic
2021-07-07,sambal shrimp
2021-07-07,white carrot soup
2021-07-07,chicken with mushroom
2021-07-07,spinach with wolfberri
2021-07-07,tomato bean fri egg
2021-07-07,wintermelon soup
2021-07-07,hong kong steam fillet
2021-07-07,brinjal in hot bean sauc
2021-07-07,bread sotong ball
2021-07-07,abc soup
2021-07-07,abc 
2021-07-07,roast honey chicken wing
2021-07-07,kai lan with oyster sauc
2021-07-07,sambal egg
2021-07-07,kau kee fish ball soup
2021-07-07,"day,"
2021-07-07,singapore!
2021-07-07,oat cereal chicken
2021-07-07,cai xin with garlic
2021-07-07,sambal shrimp
2021-07-07,white carrot soup
2021-07-07,chicken with mushroom
2021-07-07,spinach with wolfberri
2021-07-07,tomato bean fri egg
2021-07-07,wintermelon soup
2021-07-07,hong kong steam fillet
